gene	OVCAR3_MOCK	OVCAR3_KO	log2FC_OVCAR3	DEG_OVCAR3	SKOV3_MOCK	SKOV3_KO	log2FC_SKOV3	DEG_SKOV3
SUCLG2-AS1	5	2	-1	Downregulated	0	1	1	Upregulated
ZMYM4	1728	1578	-0.13092669778204477	Downregulated	1755	1227	-0.5159822841651789	Downregulated
PSMC1P1	102	88	-0.21076709621682072	Downregulated	231	165	-0.4829415637806473	Downregulated
FAM19A4	0	0	0	Neutral	0	1	1	Upregulated
EOGT	215	214	-0.006694652574008288	Downregulated	309	258	-0.25931611758768375	Downregulated
TMF1	1138	1268	0.15592432213299415	Upregulated	2196	1575	-0.4792673349669001	Downregulated
UBA3	933	1176	0.33361986532878224	Upregulated	1961	1332	-0.5576482611302657	Downregulated
ARL6IP5	717	1067	0.5728558978645025	Upregulated	1439	970	-0.5685256109104824	Downregulated
LMOD3	2	0	-1.5849625007211563	Downregulated	0	2	1.584962500721156	Upregulated
FRMD4B	108	115	0.08979667035064584	Upregulated	84	77	-0.12398871727545348	Downregulated
MITF	120	52	-1.1909427827113954	Downregulated	182	165	-0.14066040693711768	Downregulated
SAMMSON	0	1	1	Upregulated	0	0	0	Neutral
LOC107984868	1	10	2.4594316186372973	Upregulated	1	0	-1	Downregulated
RPL5P4	1	12	2.700439718141092	Upregulated	4	0	-2.321928094887362	Downregulated
FOXP1	240	115	-1.0549083411023894	Downregulated	300	223	-0.42626475470209796	Downregulated
FOXP1-AS1	1	0	-1	Downregulated	1	0	-1	Downregulated
LOC105377155	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
EIF4E3	408	375	-0.12136818126411142	Downregulated	417	271	-0.6198962908305434	Downregulated
GPR27	0	0	0	Neutral	0	1	1	Upregulated
KIAA0319L	941	508	-0.888061403537088	Downregulated	789	589	-0.4211376988152617	Downregulated
LINC00870	2	7	1.4150374992788437	Upregulated	3	1	-1	Downregulated
SHQ1	566	538	-0.07306346218972336	Downregulated	819	616	-0.4103534203560282	Downregulated
LOC107986097	1	6	1.8073549220576042	Upregulated	1	0	-1	Downregulated
LOC107986033	3	22	2.523561956057013	Upregulated	3	4	0.32192809488736235	Upregulated
GXYLT2	63	21	-1.5405683813627027	Downregulated	49	19	-1.3219280948873622	Downregulated
FTH1P23	1	2	0.5849625007211562	Upregulated	7	0	-3	Downregulated
PPP4R2	1575	1876	0.25216111537449815	Upregulated	2801	1853	-0.5958157118052874	Downregulated
NCDN	419	163	-1.3566935130480389	Downregulated	694	632	-0.13480747818252853	Downregulated
EBLN2	6	68	3.301169534720565	Upregulated	22	11	-0.9385994553358568	Downregulated
LOC105378645	5	25	2.1154772174199357	Upregulated	18	10	-0.7884958948062882	Downregulated
LOC105377165	1	2	0.5849625007211562	Upregulated	0	1	1	Upregulated
CNTN3	0	0	0	Neutral	1	0	-1	Downregulated
LOC107986099	0	1	1	Upregulated	0	1	1	Upregulated
TFAP2E	92	72	-0.34933425222801423	Downregulated	252	195	-0.36828373057910196	Downregulated
HNRNPA3P6	109	106	-0.039892727123512585	Downregulated	154	108	-0.5079400804973112	Downregulated
OR7E22P	0	2	1.584962500721156	Upregulated	0	2	1.584962500721156	Upregulated
LOC105377169	0	3	2	Upregulated	0	0	0	Neutral
PSMB2	3002	2951	-0.02471175349675362	Downregulated	3800	2772	-0.4549314088224871	Downregulated
ALG1L6P	15	30	0.9541963103868752	Upregulated	17	13	-0.36257007938470825	Downregulated
FAM86DP	114	58	-0.9628470015825339	Downregulated	160	109	-0.5495571645899575	Downregulated
LOC107986100	1	16	3.0874628412503395	Upregulated	2	3	0.41503749927884376	Upregulated
ENPP7P2	8	22	1.3536369546147005	Upregulated	1	1	0	Neutral
LOC107986101	0	7	3	Upregulated	0	2	1.584962500721156	Upregulated
LOC107986102	2	6	1.222392421336448	Upregulated	13	6	-1	Downregulated
RPL23AP49	2	2	0	Neutral	3	6	0.8073549220576041	Upregulated
AGGF1P3	0	1	1	Upregulated	4	2	-0.7369655941662062	Downregulated
RARRES2P1	0	1	1	Upregulated	1	0	-1	Downregulated
LINC00960	4	2	-0.7369655941662062	Downregulated	47	41	-0.19264507794239588	Downregulated
ZNF717	0	1	1	Upregulated	0	0	0	Neutral
C1orf216	123	233	0.9161684091965294	Upregulated	197	141	-0.4796095005749276	Downregulated
ROBO2	1	2	0.5849625007211562	Upregulated	0	0	0	Neutral
ANKRD65	2	8	1.584962500721156	Upregulated	0	1	1	Upregulated
CLSPN	706	938	0.4094149428443757	Upregulated	1466	1460	-0.005912692869891592	Downregulated
ROBO1	87	34	-1.330148601692331	Downregulated	51	25	-1	Downregulated
LOC101927374	6	80	3.5324950808270206	Upregulated	22	20	-0.13124453327825267	Downregulated
AGO4	219	313	0.5132610353669674	Upregulated	255	180	-0.5001541129167947	Downregulated
LOC105377177	0	2	1.584962500721156	Upregulated	0	1	1	Upregulated
GBE1	611	401	-0.6063361515137231	Downregulated	1064	529	-1.006789165662639	Downregulated
SETP6	0	1	1	Upregulated	0	0	0	Neutral
AGO1	1802	1356	-0.4099786760134875	Downregulated	1276	831	-0.6181030915616316	Downregulated
LOC105377180	13	22	0.7162070339994087	Upregulated	40	25	-0.6571122864769915	Downregulated
CYP51A1P1	1	4	1.3219280948873624	Upregulated	4	0	-2.321928094887362	Downregulated
AGO3	932	1452	0.6390857167810826	Upregulated	1195	735	-0.7004397181410921	Downregulated
LOC105377188	1	6	1.8073549220576042	Upregulated	0	0	0	Neutral
LINC00971	0	0	0	Neutral	1	0	-1	Downregulated
LOC105378647	0	1	1	Upregulated	1	0	-1	Downregulated
LOC102723364	0	0	0	Neutral	0	1	1	Upregulated
VGLL3	11	5	-1	Downregulated	41	39	-0.07038932789139803	Downregulated
LOC285232	0	1	1	Upregulated	1	2	0.5849625007211562	Upregulated
LINC00506	43	298	2.764570055560808	Upregulated	107	73	-0.5454341365345187	Downregulated
CHMP2B	1333	1165	-0.1941908779840885	Downregulated	2517	1491	-0.7550307474637789	Downregulated
TEKT2	1	1	0	Neutral	1	2	0.5849625007211562	Upregulated
CGGBP1	1434	1528	0.09153766979775453	Upregulated	1302	995	-0.3876194365000535	Downregulated
ZNF654	283	292	0.04500973491756591	Upregulated	599	409	-0.5493385909904348	Downregulated
CBX5P1	0	4	2.321928094887362	Upregulated	5	0	-2.584962500721156	Downregulated
C3orf38	470	622	0.4035051034112186	Upregulated	822	645	-0.34935826572770073	Downregulated
EPHA3	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
ADPRHL2	464	232	-0.9969007613411135	Downregulated	1127	833	-0.43564777895412987	Downregulated
PROS2P	2	11	2	Upregulated	3	3	0	Neutral
COL8A2	0	4	2.321928094887362	Upregulated	0	0	0	Neutral
PROS1	245	476	0.9553309506662716	Upregulated	254	194	-0.38702312310924736	Downregulated
ARL13B	254	336	0.40225134432300047	Upregulated	396	332	-0.2536168300716957	Downregulated
HMGN1P7	0	3	2	Upregulated	4	1	-1.3219280948873622	Downregulated
STX19	9	12	0.37851162325372983	Upregulated	11	11	0	Neutral
DHFR2	78	128	0.7074465072461512	Upregulated	95	73	-0.37550913509220635	Downregulated
NSUN3	78	140	0.8357706042216906	Upregulated	137	127	-0.10852445677816903	Downregulated
RBBP4P2	3	6	0.8073549220576041	Upregulated	4	0	-2.321928094887362	Downregulated
ARMC10P1	87	108	0.30875270613962896	Upregulated	74	60	-0.2980813529329946	Downregulated
TRAPPC3	883	883	0	Neutral	1378	1009	-0.4492671638748233	Downregulated
LOC105373992	0	0	0	Neutral	0	1	1	Upregulated
MTHFD2P1	3	0	-2	Downregulated	2	0	-1.5849625007211563	Downregulated
HNRNPKP4	1	0	-1	Downregulated	2	0	-1.5849625007211563	Downregulated
MTRNR2L12	0	3	2	Upregulated	0	0	0	Neutral
LOC105378585	0	0	0	Neutral	1	0	-1	Downregulated
MAP7D1	2266	413	-2.4530817182414606	Downregulated	4026	2712	-0.5698164246638878	Downregulated
EPHA6	3	2	-0.4150374992788438	Downregulated	1	0	-1	Downregulated
LOC101929278	0	1	1	Upregulated	0	0	0	Neutral
ARL6	106	137	0.367057470377022	Upregulated	246	191	-0.36340473086352143	Downregulated
CRYBG3	364	580	0.6706416996371493	Upregulated	910	632	-0.5252455543737093	Downregulated
LOC105373994	1	6	1.8073549220576042	Upregulated	2	0	-1.5849625007211563	Downregulated
THRAP3	5017	1839	-1.4474067044647974	Downregulated	4478	3176	-0.4955115761422047	Downregulated
RIOX2	1173	1341	0.19295226309013122	Upregulated	1925	1240	-0.6341045877131027	Downregulated
LOC105373999	0	1	1	Upregulated	0	0	0	Neutral
LOC107984938	0	20	4.392317422778761	Upregulated	14	4	-1.5849625007211563	Downregulated
OR5K1	0	1	1	Upregulated	0	0	0	Neutral
OR5K2	0	2	1.584962500721156	Upregulated	1	0	-1	Downregulated
CLDND1	7413	9578	0.3696229384720941	Upregulated	12027	7760	-0.6320823131681056	Downregulated
RPL38P4	3	6	0.8073549220576041	Upregulated	7	10	0.45943161863729726	Upregulated
SH3D21	36	187	2.3451354860486875	Upregulated	47	31	-0.5849625007211563	Downregulated
GPR15	71	155	1.1154772174199359	Upregulated	84	95	0.1755715645834544	Upregulated
CPOX	7930	7348	-0.1099548316605425	Downregulated	8606	5053	-0.7680848045450455	Downregulated
ST3GAL6-AS1	9	6	-0.5145731728297583	Downregulated	15	7	-1	Downregulated
ST3GAL6	96	343	1.82635191251497	Upregulated	118	103	-0.19437804516685134	Downregulated
PDLIM1P4	1	12	2.700439718141092	Upregulated	6	3	-0.8073549220576042	Downregulated
DCBLD2	11834	13525	0.19267555280094084	Upregulated	13193	8521	-0.630618053397905	Downregulated
LOC105374002	6	7	0.19264507794239583	Upregulated	13	17	0.36257007938470837	Upregulated
EVA1B	266	334	0.3273213536575808	Upregulated	210	112	-0.9009202262919975	Downregulated
LOC105374003	274	223	-0.2959328863544178	Downregulated	259	181	-0.5145731728297583	Downregulated
LOC105374007	0	0	0	Neutral	4	3	-0.3219280948873623	Downregulated
COL8A1	1	0	-1	Downregulated	0	0	0	Neutral
HP09053	0	3	2	Upregulated	0	1	1	Upregulated
STK40	941	308	-1.6081202217084087	Downregulated	572	390	-0.5513665314495525	Downregulated
CMSS1	1319	1219	-0.11365678179556724	Downregulated	2410	1756	-0.45651745959414997	Downregulated
FILIP1L	3	13	1.8073549220576042	Upregulated	2	2	0	Neutral
LOC105374010	6	38	2.478047296804644	Upregulated	22	2	-2.9385994553358565	Downregulated
LOC105374009	0	10	3.4594316186372973	Upregulated	4	0	-2.321928094887362	Downregulated
VTI1BP1	0	1	1	Upregulated	0	0	0	Neutral
TBC1D23	439	456	0.054690641533410016	Upregulated	1179	856	-0.46141975013670367	Downregulated
LOC107984939	14	22	0.6166713604484945	Upregulated	38	10	-1.8259706002249512	Downregulated
NIT2	518	611	0.23779711433477105	Upregulated	678	509	-0.41291432738587386	Downregulated
TOMM70	2701	2226	-0.2789261165378948	Downregulated	3843	2421	-0.6664094710794216	Downregulated
LNP1	28	51	0.8424587230135201	Upregulated	14	19	0.41503749927884376	Upregulated
TMEM45A	122	90	-0.43471986514054356	Downregulated	166	141	-0.2339571729693701	Downregulated
ADGRG7	2	0	-1.5849625007211563	Downregulated	2	0	-1.5849625007211563	Downregulated
TFG	2264	1326	-0.7713426795634042	Downregulated	2507	1667	-0.5884180593573752	Downregulated
ABI3BP	9	11	0.2630344058337938	Upregulated	5	2	-1	Downregulated
LSM10	578	420	-0.45974311492284053	Downregulated	1106	777	-0.5088131617953604	Downregulated
IMPG2	9	31	1.6780719051126378	Upregulated	8	4	-0.84799690655495	Downregulated
SENP7	261	494	0.9178617134295217	Upregulated	273	221	-0.3036162166104207	Downregulated
ZNF90P1	1	0	-1	Downregulated	1	0	-1	Downregulated
LOC100287852	0	6	2.807354922057604	Upregulated	1	0	-1	Downregulated
BTF3P16	0	4	2.321928094887362	Upregulated	1	0	-1	Downregulated
FAM172BP	0	0	0	Neutral	0	1	1	Upregulated
TRMT10C	1013	1475	0.5416350690570556	Upregulated	1621	1114	-0.540730109409606	Downregulated
PCNP	3394	3359	-0.014950341465971444	Downregulated	5677	3865	-0.5545412115131559	Downregulated
RPS18P5	113	171	0.5933747405373563	Upregulated	190	144	-0.3975197380208143	Downregulated
ZBTB11	1165	858	-0.44083775206203285	Downregulated	1915	1193	-0.6822947244713752	Downregulated
ZBTB11-AS1	135	64	-1.0650950282218847	Downregulated	194	117	-0.7246872643877695	Downregulated
RPL24	12617	17788	0.4955021565795894	Upregulated	24026	16144	-0.573569084531584	Downregulated
LOC105374013	39	116	1.5484366246960422	Upregulated	60	28	-1.0727563424353141	Downregulated
PDCL3P4	0	14	3.9068905956085187	Upregulated	9	8	-0.15200309344504995	Downregulated
CEP97	493	873	0.8231222379159207	Upregulated	662	574	-0.20544691428085013	Downregulated
NXPE3	246	342	0.47369753458813457	Upregulated	189	142	-0.4099842715525584	Downregulated
OSCP1	55	36	-0.5979015564286544	Downregulated	62	57	-0.11929892837234443	Downregulated
NFKBIZ	59	107	0.8479969065549501	Upregulated	22	27	0.28379296600059134	Upregulated
ZPLD1	2	0	-1.5849625007211563	Downregulated	0	3	2	Upregulated
LOC107984940	1	4	1.3219280948873624	Upregulated	0	1	1	Upregulated
LOC105374019	3	92	4.539158811108031	Upregulated	21	15	-0.4594316186372972	Downregulated
LOC105374020	19	351	4.137503523749935	Upregulated	91	59	-0.6166713604484944	Downregulated
LOC391562	14	10	-0.4474589769712214	Downregulated	37	31	-0.24792751344358557	Downregulated
MRPS15	1297	1108	-0.22703101783742854	Downregulated	3448	2465	-0.48400532905801447	Downregulated
LOC107986107	0	0	0	Neutral	1	0	-1	Downregulated
LOC107986108	0	0	0	Neutral	1	0	-1	Downregulated
ALCAM	1858	1362	-0.447741208114272	Downregulated	2660	1432	-0.8929299007600745	Downregulated
CBLB	217	138	-0.649243252053419	Downregulated	206	123	-0.7392906471124501	Downregulated
LOC107986109	0	0	0	Neutral	1	0	-1	Downregulated
LOC105374029	1	0	-1	Downregulated	0	2	1.584962500721156	Upregulated
LOC101929534	1	1	0	Neutral	0	0	0	Neutral
LOC107986021	0	0	0	Neutral	0	1	1	Upregulated
MTND4LP3	0	1	1	Upregulated	0	0	0	Neutral
FTLP18	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
LOC344593	1	1	0	Neutral	0	0	0	Neutral
LINC00882	7	6	-0.19264507794239588	Downregulated	12	7	-0.7004397181410921	Downregulated
DUBR	18	29	0.658963082164933	Upregulated	32	29	-0.13750352374993496	Downregulated
LOC107984941	1	0	-1	Downregulated	0	0	0	Neutral
LINC01990	0	1	1	Upregulated	0	1	1	Upregulated
BBX	2043	2775	0.4416123716406396	Upregulated	3648	2617	-0.4790360536392407	Downregulated
CD47	735	1994	1.4386110750526953	Upregulated	1195	948	-0.3337373971769957	Downregulated
LINC01215	4	2	-0.7369655941662062	Downregulated	0	0	0	Neutral
IFT57	551	794	0.5262865933935488	Upregulated	1031	721	-0.5153722285360831	Downregulated
HHLA2	1	7	2	Upregulated	0	0	0	Neutral
MYH15	163	226	0.46899648267283117	Upregulated	165	151	-0.12711191790333934	Downregulated
RPL13P8	1	19	3.321928094887362	Upregulated	8	8	0	Neutral
KIAA1524	509	914	0.8432744963125469	Upregulated	1432	1110	-0.3671797928730536	Downregulated
DZIP3	776	871	0.16641353636921635	Upregulated	880	683	-0.3651456940345158	Downregulated
GRIK3	0	3	2	Upregulated	1	0	-1	Downregulated
MORC1	1	0	-1	Downregulated	0	0	0	Neutral
DPPA2	2	3	0.41503749927884376	Upregulated	0	0	0	Neutral
LINC01205	0	4	2.321928094887362	Upregulated	0	0	0	Neutral
LOC440973	0	9	3.321928094887362	Upregulated	0	0	0	Neutral
LOC105377811	0	1	1	Upregulated	0	0	0	Neutral
LOC105374037	1	1	0	Neutral	0	0	0	Neutral
LOC151760	7	1	-2	Downregulated	75	49	-0.6040713236688607	Downregulated
PVRL3-AS1	6	6	0	Neutral	1	1	0	Neutral
NECTIN3	4819	9546	0.9860143128639334	Upregulated	5958	3599	-0.727073340896599	Downregulated
LOC105374038	0	2	1.584962500721156	Upregulated	1	0	-1	Downregulated
LOC105374039	0	1	1	Upregulated	0	0	0	Neutral
CD96	0	12	3.700439718141092	Upregulated	8	8	0	Neutral
ZBED2	5	14	1.3219280948873624	Upregulated	56	56	0	Neutral
LINC01770	9	29	1.584962500721156	Upregulated	4	3	-0.3219280948873623	Downregulated
PLCXD2	76	55	-0.4594316186372972	Downregulated	137	83	-0.7162070339994087	Downregulated
PLCXD2-AS1	0	5	2.584962500721156	Upregulated	3	3	0	Neutral
PHLDB2	5391	4763	-0.1786470833177446	Downregulated	6620	4479	-0.5635503980558036	Downregulated
LOC107984087	2	1	-0.5849625007211563	Downregulated	0	0	0	Neutral
LOC105374040	5	11	1	Upregulated	8	3	-1.1699250014423124	Downregulated
ABHD10	5215	7537	0.5312379254332792	Upregulated	6045	3741	-0.6921714203869231	Downregulated
TAGLN3	9	6	-0.5145731728297583	Downregulated	19	4	-2	Downregulated
RFKP2	8	13	0.6374299206152918	Upregulated	6	4	-0.4854268271702417	Downregulated
TMPRSS7	2	1	-0.5849625007211563	Downregulated	5	3	-0.5849625007211563	Downregulated
C3orf52	279	297	0.08988550351719511	Upregulated	801	520	-0.622318864176412	Downregulated
GCSAM	20	63	1.6076825772212395	Upregulated	64	26	-1.267480310864986	Downregulated
SLC9C1	4	4	0	Neutral	9	4	-1	Downregulated
LOC100420831	0	0	0	Neutral	4	2	-0.7369655941662062	Downregulated
LOC100532749	0	2	1.584962500721156	Upregulated	2	0	-1.5849625007211563	Downregulated
CD200	2	5	1	Upregulated	3	7	1	Upregulated
LOC105374041	0	0	0	Neutral	1	0	-1	Downregulated
BTLA	9	15	0.6780719051126377	Upregulated	18	10	-0.7884958948062882	Downregulated
LOC107984942	0	6	2.807354922057604	Upregulated	0	2	1.584962500721156	Upregulated
ATG3	878	760	-0.20796671163985866	Downregulated	1625	1103	-0.5585870852968586	Downregulated
SLC35A5	367	547	0.5744701269035138	Upregulated	441	335	-0.39558513661267136	Downregulated
LINC01279	5	5	0	Neutral	12	3	-1.7004397181410922	Downregulated
CCDC80	22	5	-1.9385994553358568	Downregulated	38	28	-0.42742122373467617	Downregulated
LOC100653395	10	26	1.2954558835261714	Upregulated	10	4	-1.137503523749935	Downregulated
LINC02042	0	1	1	Upregulated	1	0	-1	Downregulated
LOC100129297	1	0	-1	Downregulated	0	0	0	Neutral
CD200R1	5	2	-1	Downregulated	7	10	0.45943161863729726	Upregulated
GTPBP8	198	231	0.2213563745839232	Upregulated	430	343	-0.32527930438700026	Downregulated
LINC01137	41	16	-1.304854581528421	Downregulated	47	24	-0.9411063109464314	Downregulated
NEPRO	914	1039	0.18473987985704962	Upregulated	1661	1196	-0.4734972298268425	Downregulated
LOC107986113	9	45	2.2016338611696504	Upregulated	21	13	-0.6520766965796931	Downregulated
LOC107986114	1	5	1.584962500721156	Upregulated	2	4	0.7369655941662062	Upregulated
LINC02044	0	0	0	Neutral	2	0	-1.5849625007211563	Downregulated
LOC102723430	0	1	1	Upregulated	1	0	-1	Downregulated
BOC	54	45	-0.2577977574676468	Downregulated	89	71	-0.3219280948873623	Downregulated
CFAP44	84	314	1.8898170822495772	Upregulated	172	137	-0.3261037708585555	Downregulated
LOC101180897	1	2	0.5849625007211562	Upregulated	0	0	0	Neutral
PHF5DP	3	7	1	Upregulated	1	9	2.321928094887362	Upregulated
CFAP44-AS1	0	0	0	Neutral	1	0	-1	Downregulated
ZC3H12A	110	64	-0.7720480533216514	Downregulated	101	60	-0.7416880044086094	Downregulated
SPICE1	179	416	1.212050477114989	Upregulated	278	197	-0.4947646917495779	Downregulated
SIDT1	0	3	2	Upregulated	0	1	1	Upregulated
USF3	412	575	0.4799270300228669	Upregulated	323	177	-0.864116571918227	Downregulated
NAA50	4656	4401	-0.08124173692877075	Downregulated	6134	3811	-0.6865152246403255	Downregulated
ATP6V1A	1198	982	-0.286568337073643	Downregulated	1602	1110	-0.5289156087654561	Downregulated
GRAMD1C	249	310	0.3149864854685155	Upregulated	276	162	-0.7650140118181107	Downregulated
LOC100420528	1	5	1.584962500721156	Upregulated	2	10	1.874469117916141	Upregulated
VPS26AP1	0	4	2.321928094887362	Upregulated	0	0	0	Neutral
ZDHHC23	224	393	0.8082706282393392	Upregulated	291	222	-0.3889246589597124	Downregulated
CCDC191	123	175	0.5052353082504221	Upregulated	123	89	-0.46234321405720047	Downregulated
LOC100127892	0	2	1.584962500721156	Upregulated	0	1	1	Upregulated
LOC105374048	1	0	-1	Downregulated	0	0	0	Neutral
QTRT2	718	570	-0.332501025076455	Downregulated	1428	1044	-0.45150297412757145	Downregulated
DRD3	0	1	1	Upregulated	0	0	0	Neutral
ZNF80	0	7	3	Upregulated	1	1	0	Neutral
MEAF6	974	990	0.023482838549515116	Upregulated	1834	1380	-0.4100667434725242	Downregulated
LOC107986115	0	1	1	Upregulated	0	0	0	Neutral
LOC645180	0	1	1	Upregulated	0	0	0	Neutral
TIGIT	0	3	2	Upregulated	3	2	-0.4150374992788438	Downregulated
ZBTB20	1768	1815	0.03783015460045657	Upregulated	3587	2650	-0.43664322005200223	Downregulated
ZBTB20-AS1	0	1	1	Upregulated	1	0	-1	Downregulated
ZBTB20-AS5	0	1	1	Upregulated	0	0	0	Neutral
YBX1P3	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
ZBTB20-AS4	0	1	1	Upregulated	0	0	0	Neutral
LOC101926886	0	0	0	Neutral	0	1	1	Upregulated
LOC105374051	0	0	0	Neutral	0	1	1	Upregulated
LSAMP	3	12	1.7004397181410922	Upregulated	3	1	-1	Downregulated
LOC105374052	0	1	1	Upregulated	0	0	0	Neutral
LOC105378649	0	1	1	Upregulated	1	0	-1	Downregulated
BZW1P2	147	120	-0.2905901283543553	Downregulated	301	244	-0.3017668003225083	Downregulated
SNIP1	473	356	-0.4089629848691594	Downregulated	611	439	-0.47602812916799214	Downregulated
LOC100421670	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
LOC105374057	0	7	3	Upregulated	0	0	0	Neutral
LOC101926953	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
LOC107986022	0	2	1.584962500721156	Upregulated	0	0	0	Neutral
LOC105374058	0	1	1	Upregulated	0	0	0	Neutral
LOC105374060	23	32	0.45943161863729726	Upregulated	20	15	-0.39231742277876036	Downregulated
LOC101926968	0	1	1	Upregulated	1	0	-1	Downregulated
LOC107983969	6	6	0	Neutral	17	14	-0.2630344058337938	Downregulated
LOC105374059	1	3	1	Upregulated	8	3	-1.1699250014423124	Downregulated
LOC107985729	4	9	1	Upregulated	5	1	-1.5849625007211563	Downregulated
FTH1P1	1	13	2.807354922057604	Upregulated	2	5	1	Upregulated
IGSF11	1	3	1	Upregulated	5	3	-0.5849625007211563	Downregulated
UPK1B	1	7	2	Upregulated	1	0	-1	Downregulated
B4GALT4	299	291	-0.03899413161586357	Downregulated	397	255	-0.6366246205436488	Downregulated
B4GALT4-AS1	0	1	1	Upregulated	0	0	0	Neutral
ARHGAP31	60	51	-0.2302976194217942	Downregulated	115	81	-0.5004289905094885	Downregulated
ARHGAP31-AS1	0	0	0	Neutral	0	1	1	Upregulated
RPS27P9	3	1	-1	Downregulated	5	6	0.22239242133644802	Upregulated
LOC107986117	0	0	0	Neutral	2	6	1.222392421336448	Upregulated
TMEM39A	520	681	0.38848836674566417	Upregulated	926	689	-0.42597297695999925	Downregulated
POGLUT1	209	330	0.656441889141095	Upregulated	235	230	-0.030894007945783793	Downregulated
TIMMDC1	1069	913	-0.22734472623043955	Downregulated	1877	1151	-0.7050563462114622	Downregulated
CD80	3	12	1.7004397181410922	Upregulated	6	3	-0.8073549220576042	Downregulated
LOC107986118	0	0	0	Neutral	0	1	1	Upregulated
ADPRH	36	7	-2.2094533656289497	Downregulated	62	49	-0.33342373372519185	Downregulated
PLA1A	6	7	0.19264507794239583	Upregulated	0	0	0	Neutral
