Gene Symbol	OVCAR3_MOCK
LOC101929579	0
LINC01990	0
BBX	2043
LINC00635	0
LINC00636	0
CD47	735
LOC105374031	0
LINC01215	4
LOC105378648	0
IFT57	551
HHLA2	1
HNRNPA1P17	0
MYH15	163
RPL13P8	1
KIAA1524	509
DZIP3	776
LOC105374033	0
LOC105374034	0
RETNLB	0
GRIK3	0
TRAT1	0
GUCA1C	0
MORC1	1
MORC1-AS1	0
FLJ22763	0
LINC00488	0
RNU6-1236P	0
LOC100419877	0
DPPA2	2
DPPA4	0
LOC100129989	0
H3F3AP3	0
LINC01205	0
PPIAP15	0
DIMT1P1	0
LOC440973	0
LOC105377811	0
LOC105374036	0
RNU6ATAC15P	0
RNU6-636P	0
LOC105374037	1
RPSAP29	0
LOC151760	7
PVRL3-AS1	6
NECTIN3	4819
LOC105374038	0
LOC105374039	0
ATP6V0CP2	0
CD96	0
ZBED2	5
LINC01770	9
RNA5SP43	0
LOC100420394	0
PLCXD2	76
PLCXD2-AS1	0
PHLDB2	5391
LOC107984087	2
LOC105374040	5
ABHD10	5215
TAGLN3	9
RFKP2	8
TMPRSS7	2
RPS29P6	0
C3orf52	279
GCSAM	20
SLC9C1	4
LOC100420831	0
LOC100532749	0
CD200	2
LOC105374041	0
BTLA	9
OR7E100P	0
LOC107984942	0
ATG3	878
SLC35A5	367
LINC01279	5
CCDC80	22
LOC100653395	10
LINC02042	0
LOC100129297	1
CD200R1L	0
CD200R1	5
GTPBP8	198
LINC01137	41
NEPRO	914
LOC107986113	9
LOC107986114	1
LINC02044	0
LOC102723430	0
BOC	54
CFAP44	84
LOC101180897	1
PHF5DP	3
CFAP44-AS1	0
ZC3H12A	110
SPICE1	179
SIDT1	0
RN7SL767P	0
USF3	412
NAA50	4656
ATP6V1A	1198
GRAMD1C	249
RPS10P4	0
LOC100420528	1
VPS26AP1	0
ZDHHC23	224
CCDC191	123
LOC100127892	0
LOC105374048	1
QTRT2	718
LOC391566	0
DRD3	0
ZNF80	0
MEAF6	974
LOC107986115	0
LOC645180	0
TIGIT	0
ZBTB20	1768
ZBTB20-AS1	0
ZBTB20-AS5	0
ZBTB20-AS3	0
YBX1P3	0
ZBTB20-AS4	0
LOC101926886	0
EIF4E2P2	0
LOC105374051	0
GAP43	0
LSAMP	3
RN7SL815P	0
LOC105374053	0
LOC107986116	0
LOC105374052	0
LOC105378649	0
LSAMP-AS1	0
RN7SL582P	0
BZW1P2	147
TUSC7	0
LINC00901	0
RNU5E-8P	0
PTMAP8	0
LOC105374054	0
LOC105374056	0
SNIP1	473
RNU6-1200P	0
LOC100421670	0
LOC105374057	0
LOC101926953	0
LOC107986022	0
LOC105374058	0
LOC105374060	23
LOC101926968	0
LOC107983969	6
LOC105374059	1
LOC107985729	4
FTH1P1	1
IGSF11	1
IGSF11-AS1	0
C3orf30	0
UPK1B	1
B4GALT4	299
B4GALT4-AS1	0
ARHGAP31	60
RPS26P21	0
ARHGAP31-AS1	0
RNU6-1127P	0
RPS27P9	3
LOC107986117	0
TMEM39A	520
POGLUT1	209
TIMMDC1	1069
CD80	3
CSRP2P1	0
LOC107986118	0
ADPRH	36
PLA1A	6
LOC105374062	0
DNALI1	6
RPL10P7	0
POPDC2	3
COX17	453
LOC105374063	0
LOC105374064	0
MAATS1	4
NR1I2	2
PHBP8	0
GSK3B	1653
LOC100129707	0
GNL2	2512
LOC107986119	9
RN7SL762P	0
RN7SL397P	0
LOC105374065	0
GPR156	4
LOC442087	1
LRRC58	1684
LOC100130701	0
FSTL1	248
RSPO1	7
LOC107986120	0
LOC107986121	4
RPL34P9	0
NDUFB4	1449
HGD	3
RABL3	575
MTCO1P29	0
MTCO2P29	0
GTF2E1	435
NAP1L1P3	0
C1orf109	619
LINC02049	0
LOC105374069	34
STXBP5L	3
LOC100419755	0
LOC100422044	0
POLQ	269
RPL7AP11	0
ARGFX	2
FBXO40	0
CDCA8	662
HCLS1	4
RN7SL172P	0
RNU4-62P	0
GOLGB1	2202
IQCB1	556
EAF2	86
SLC15A2	10
ILDR1	85
LOC101927010	2
CD86	0
EPHA10	92
CASR	0
HNRNPA1P23	0
CSTA	340
CCDC58	596
FAM162A	871
WDR5B	153
LOC102723582	1
LOC107986122	3
KPNA1	1268
LOC107984000	4
LOC105378650	0
LOC105374071	0
PARP9	165
DTX3L	283
PARP15	14
LOC100421636	0
EIF4BP8	0
PARP14	324
HSPBAP1	172
DIRC2	301
LINC02035	309
ACTN4P2	0
SEMA5B	5
PDIA5	616
SEC22A	180
ADCY5	15
HACD2	1400
MYLK-AS1	2
MYLK	101
MYLK-AS2	1
LOC105369194	6
VWA1	378
LOC100129497	0
CCDC14	571
ROPN1	4
KALRN	167
RPL7P15	0
LOC105374077	0
LOC107986123	0
RNU6-143P	0
LOC105374076	0
MANEAL	214
LOC100420144	0
UMPS	869
RPS26P22	0
ITGB5	1199
ENO1P3	1
MUC13	0
HEG1	99
RNA5SP137	0
SLC12A8	227
YRDC	868
RNU6-230P	0
LOC105374079	0
ZNF148	798
DUTP1	0
LOC100421437	0
LOC105374080	0
LOC105374081	0
SNX4	495
OSBPL11	470
C1orf122	576
LOC100419966	0
LOC100419969	0
OR7E130P	0
OR7E29P	0
OR7E93P	0
OR7E53P	0
OR7E97P	0
LOC105374312	5
RPS24P9	0
MTF1	958
RPS3AP14	0
SNRPCP11	0
LOC101927056	0
ENPP7P4	2
LOC102723696	0
FAM86JP	149
ALG1L	15
LOC100533621	0
ROPN1B	8
SLC41A3	594
RPS2P13	0
LOC107983957	1
LOC105374085	0
ALDH1L1	0
ALDH1L1-AS1	0
LOC105374083	0
RNU1-30P	0
ALDH1L1-AS2	0
LOC105374086	0
LOC107986124	2
KLF15	70
INPP5B	426
LOC105374088	1
LOC107986044	0
CCDC37-AS1	2
CFAP100	7
LOC105374089	2
ZXDC	661
UROC1	0
CHST13	19
C3orf22	1
LOC105374090	0
RNU6-584P	0
RNA5SP138	0
TXNRD3NB	0
TXNRD3	336
LOC100419878	2
NUP210P1	0
LOC645852	0
CHCHD6	719
RCC2P4	0
PLXNA1	1234
C3orf56	0
LOC105378651	0
LOC101060159	0
RNU6-1047P	0
LOC100419008	1
LINC02016	0
LOC105374094	1
LINC01471	0
LOC107986125	0
TPRA1	538
SF3A3	2581
MCM2	1489
LOC107986126	291
PODXL2	403
ABTB1	213
MGLL	448
LOC107986127	1
LOC107986128	0
LOC107986129	0
LOC105374096	0
KBTBD12	1
ATAD3C	17
RNU6-510P	0
RNA5SP139	0
LOC102723759	2
SEC61A1	2978
RUVBL1	1375
RNU2-37P	0
RUVBL1-AS1	1
RNU6-823P	0
EEFSEC	363
DNAJB8	0
DNAJB8-AS1	0
FHL3	388
GATA2	226
GATA2-AS1	33
LOC90246	10
TMED10P2	6
LINC01565	0
RPN1	5531
POU5F1P6	0
RAB7A	5097
MARK2P8	0
FTH1P4	2
UTP11	1526
RN7SL698P	0
RPS15AP16	0
MARK2P17	0
MARK3P3	0
MARK2P6	0
LOC653712	5
ACAD9	378
KIAA1257	127
EFCC1	19
LOC100130760	0
POU3F1	13
GP9	0
ISY1-RAB43	42
RAB43	60
ISY1	688
CNBP	6432
LOC105374101	6
RPS27P12	0
LOC105374102	0
COPG1	4017
LOC107985103	40
HMCES	988
H1FX	4970
H1FX-AS1	1
NUP210P3	0
MARK2P3	0
LOC100421508	0
RPL32P3	56
SNORA7B	1
EFCAB12	10
MBD4	217
LOC105378653	1
IFT122	178
RHO	1
H1FOO	0
PLXND1	822
RN7SL752P	0
TMCC1	398
RNY3P13	0
TMCC1-AS1	16
TRH	0
LOC107986130	13
RPS17P9	0
OR7E129P	0
OR7E21P	0
ALG1L2	5
LOC105374105	8
FAM86HP	19
LOC105374104	1
LOC105374103	1
LOC107986131	2
LOC107986133	4
LOC105378655	0
ENPP7P3	0
LOC107986134	2
LOC107986132	0
SNRPCP8	0
COL6A4P2	0
LOC105374106	0
LOC100507083	0
COL6A5	0
COL6A6	0
PIK3R4	535
LOC105378654	0
LOC107986023	1
RN7SKP212	0
LOC105374107	0
GSTO3P	0
LOC105374108	0
ATP2C1	902
LOC100420832	0
LOC100420298	0
ASTE1	46
NEK11	58
LINC01343	0
LOC107986024	0
RNU6-726P	0
LOC339874	2
NUDT16P1	137
NUDT16	360
LOC107986025	0
LOC105374110	0
MRPL3	2707
SNORA58	1
LOC105374114	1
ATAD3B	427
LOC105378657	0
BCL2L12P1	1
CPNE4	0
LOC105374113	0
LOC105374111	0
LOC729674	0
TRC-GCA6-1	0
TRC-GCA9-1	0
RPL7P16	0
ACPP	8
TUBB6P1	0
LOC100130550	0
NIP7P2	0
DNAJC13	988
NPHP3-ACAD11	50
ACAD11	417
ACKR4	4
HSPA8P19	0
UBA5	715
NPHP3	75
NPHP3-AS1	0
RNU6-753P	0
LOC105374115	0
TMEM108	0
TMEM108-AS1	0
LOC101927432	0
BFSP2	1
BFSP2-AS1	10
LOC391578	0
CDV3	4196
TOPBP1	806
TF	14
LOC107984943	0
RNU6-678P	0
TFP1	10
RNA5SP140	0
LOC100421637	0
SRPRB	1341
LOC105374116	0
RAB6B	401
C3orf36	0
SLCO2A1	12
LINC02000	0
LOC105378656	0
LOC105374117	5
RYK	1358
HMGB3P14	2
LOC105374119	3
LOC105374118	6
RPL39P5	0
AMOTL2	1351
HMGN1P9	0
HMGB3P13	0
LOC105378658	0
ANAPC13	654
CEP63	295
LOC100421154	0
KY	1
EPHB1	4
RNU6-1174P	0
RNA5SP141	0
LOC105374121	3
LOC105374120	0
LOC105378660	1
LOC102724019	0
LOC105374122	0
LOC105374123	0
LOC105374124	0
NDUFS6P1	0
PPP2R3A	197
LOC107986135	0
LOC100420050	0
MSL2	601
TDGF1P6	2
LOC400750	2
RPL31P23	0
PCCB	1104
STAG1	992
RNU6-1284P	0
RNY4P4	0
HMGN1P10	0
RNU6-789P	0
LOC100421438	2
SLC35G2	36
NCK1-AS1	40
RRAGC	497
NCK1	493
RAD51AP1P1	0
LOC107986136	28
IL20RB	360
RNA5SP142	0
LOC100289118	0
LOC105374126	0
NPM1P17	0
SOX14	3
LINC01210	0
GJA9-MYCBP	0
HSPA8P9	0
CLDN18	0
LOC105374127	0
LOC105374128	1
DZIP1L	31
KRT8P36	3
A4GNT	0
DBR1	406
ARMC8	471
NME9	10
SEPT14P18	4
ATAD3A	1024
MYCBP	533
MRAS	346
LOC105374129	0
ESYT3	2
CEP70	548
FAIM	78
LOC256374	0
PIK3CB	948
GAPDHP39	0
RPL23AP40	0
EEF1A1P25	0
LOC105378663	0
ATP5G1P3	0
LINC01391	0
FOXL2	0
FOXL2NB	0
PRR23A	0
PRR23B	0
PRR23C	0
RPL7L1P7	0
BPESC1	0
PISRT1	0
GJA9	0
MRPS22	1185
COPB2	3927
LOC100507291	8
RBP2	0
ACTG1P1	7
RBP1	1531
NMNAT3	108
RN7SKP124	0
RN7SL724P	0
TRMT112P5	0
RHBDL2	0
CLSTN2	324
LOC105374132	2
CLSTN2-AS1	0
LOC102724068	5
TRIM42	0
RPL23AP41	0
SLC25A36	1440
SPSB4	10
PXYLP1	278
RPL31P21	0
LOC105378662	0
LOC107986137	0
LOC100289442	0
ZBTB38	697
KRT18P35	0
RASA2	307
YWHAQP6	0
LOC646730	0
TPT1P3	0
RNF7	804
GRK7	0
RNU6-605P	0
LOC105374134	0
HMGN2P25	0
ATP1B3	1921
RNU6-509P	0
TFDP2	1490
RPL19P6	0
RNU6-425P	0
GK5	412
XRN1	856
RNU6-1294P	0
EIF1P2	0
RNU1-100P	0
ATR	693
LOC731755	3
SUCLG2P1	1
RPL6P9	0
RNA5SP143	0
PLS1	1634
LOC105374136	0
RN7SKP25	0
TRPC1	72
AKIRIN1	1992
RNU7-47P	0
PCOLCE2	76
RPL8P3	0
LOC100507389	0
PAQR9	3
PAQR9-AS1	0
LOC100289361	4
U2SURP	2728
LOC105374138	0
CHST2	35
NDUFS5	2084
LOC105374137	0
PBX2P1	4
SLC9A9	17
SLC9A9-AS1	0
GAPDHP47	0
ST13P15	0
LOC100128739	0
LOC102724120	0
RPS17P10	0
C3orf58	212
LOC107984944	4
RNA5SP144	0
LOC105374140	1
LOC105374139	0
LOC105374141	0
LARP7P4	0
LOC105374142	0
LOC105374143	0
LOC105374144	0
GM2AP1	0
RPL21P39	0
TMEM240	0
MACF1	4322
LOC107986138	0
PLOD2	736
LOC105374145	2
PLSCR4	58
LOC100419967	0
PLSCR2	4
PLSCR1	366
RNU6-428P	0
PLSCR5	0
LINC02010	0
RNU6-608P	0
RNU6-505P	0
LOC107986139	0
RPL21P71	0
ZIC4	0
ZIC1	0
LOC440982	0
NPM1P28	0
LOC102724145	0
LINC02032	0
HNRNPA1P20	0
RNA5SP44	0
LOC105374146	0
LOC105374149	0
LOC105374148	0
LOC105374147	0
LOC105374150	0
RPL38P1	0
AGTR1	0
HMGB1P30	0
CPB1	0
CPA3	0
HSPE1P8	0
LOC107986045	0
UBQLN4P1	10
GYG1	709
HLTF	2613
HLTF-AS1	3
MED28P2	0
HPS3	259
CP	22
LOC101927942	0
CPHL1P	0
KIAA0754	392
LOC107986140	2
TM4SF18	2
RPS25P5	0
TM4SF1	2
TM4SF1-AS1	0
LOC105374151	0
FKBP1AP4	0
LOC107986038	0
TM4SF4	0
LOC100421817	0
LOC105378950	0
WWTR1	1225
RNU6-1098P	0
WWTR1-AS1	5
COMMD2	566
ANKUB1	0
RNU6-507P	0
RNF13	819
RNU6-720P	0
NPM1P29	3
LOC105374152	0
BMP8A	214
PFN2	1772
LOC646903	4
TMEM183B	5
LOC391587	2
HNRNPA1P24	0
LOC105374153	0
LOC730021	0
LOC107986046	0
LOC105374313	0
RPL32P9	0
TRK-CTT12-1	0
LINC01213	0
LINC01214	0
LOC105374154	0
LOC107986141	1
LOC107986142	0
LOC107986143	2
TSC22D2	654
SERP1	2866
EIF2A	3001
SELENOT	1288
OXCT2P1	3
LOC677762	2
ERICH6	1
ERICH6-AS1	11
SNRPCP3	0
LOC101928105	0
SIAH2	609
LOC105374155	0
LOC107986145	0
FAM188B2	0
LOC107986144	0
PPIEL	18
CLRN1	0
CLRN1-AS1	3
MED12L	117
RNA5SP145	0
GPR171	0
P2RY14	5
SETP11	0
GPR87	77
P2RY13	0
P2RY12	1
SSU72	1725
PABPC4	6156
IGSF10	12
MRPL42P6	0
LOC105374157	0
LOC105374158	0
AADACL2	0
AADACL2-AS1	0
AADACP1	40
LOC105374160	33
AADAC	41
LOC101929516	14
SUCNR1	7
LOC105374159	5
LOC107986047	1
LOC101928166	0
MBNL1	3304
MBNL1-AS1	18
LOC105374162	67
TMEM14EP	2
LOC105374163	0
LOC102724289	0
SNORA55	0
ATP5LP5	0
P2RY1	24
LOC107986146	0
HMGN2P13	0
LOC100418712	0
RAP2B	1823
LOC105374164	0
RN7SL300P	0
LOC105374166	0
LOC105374165	0
HEYL	284
LOC107986147	0
RNU6-901P	0
C3orf79	0
RPL21P42	0
ARHGEF26-AS1	8
ARHGEF26	5
LOC105374167	0
DHX36	646
GPR149	0
DDX50P2	0
NT5C1A	1
LOC100130011	0
DYNLL1P5	0
RPL9P15	0
LOC105374170	1
LOC105374171	0
MME	1
LINC01487	0
LOC100507537	0
PABPC1P10	0
LOC105374172	0
HPCAL4	431
LOC100419750	0
RN7SL715P	0
PLCH1	133
PLCH1-AS2	0
RPL6P7	0
RPL7AP24	0
C3orf33	102
SLC33A1	428
LOC105374174	7
GMPS	1885
LOC100128091	0
SETP14	20
VN2R1P	0
ALG1L15P	1
MRE11P1	0
KCNAB1	53
LOC751837	0
KCNAB1-AS2	0
KCNAB1-AS1	0
SSR3	4024
TIPARP-AS1	6
RNU7-121P	0
TIPARP	1114
LOC107986148	11
METTL15P1	18
LINC00886	43
PA2G4P4	7
LEKR1	16
KLF3P2	0
LOC100422426	0
RN7SKP177	0
LINC00880	4
PPIE	1311
LINC02029	13
LINC00881	0
CCNL1	738
KRT18P34	0
LOC101928236	35
RNA5SP146	0
LOC100420048	0
LOC105374179	1
VEPH1	35
PTX3	7
BMP8B	372
PQLC2L	0
RN7SKP46	0
SHOX2	145
RSRC1	591
RPL15P6	0
LOC100422604	0
RPS12P7	1
LOC100996447	24
MLF1	1011
MTAPP1	0
FNDC10	87
OXCT2	5
GFM1	631
LXN	0
RARRES1	2
LOC100287290	31
RPL35AP9	0
MFSD1	134
GPR79	0
LOC105374181	1
IQCJ-SCHIP1	125
IQCJ	0
LOC105378666	0
SCHIP1	17
RPS2P19	0
LOC100420738	0
IQCJ-SCHIP1-AS1	0
LOC101928351	3
RNU2-31P	0
IL12A-AS1	0
IL12A	73
LINC01100	0
LOC101929536	1
LOC105374314	0
BRD7P2	11
LOC107986149	0
C3orf80	40
IFT80	545
RPL35AP10	0
SMC4	2641
TRIM59	649
LOC105378951	4
B3GAT3P1	0
RNU7-136P	0
KPNA4	2351
SCARNA7	5
KRT8P12	23
RPL6P8	0
ARL14	13
PPM1L	399
B3GALNT1	56
LOC105374186	0
LOC107985740	1
NMD3	2632
LOC105374187	17
EEF1GP4	0
PSMC1P7	0
SPTSSB	87
LOC107986150	0
LINC02067	0
RPL23AP42	633
OTOL1	0
LOC107986048	0
LOC105378665	1
LOC107986049	0
TOMM22P6	0
RPS6P4	0
LINC01192	0
LOC105374188	0
RNU7-82P	0
LOC730129	0
LOC102724419	0
LOC105374189	0
LOC105378667	0
LOC105374190	0
LOC105374191	0
LOC107986151	0
LINC01324	0
LOC107986050	0
SI	0
LOC105374192	0
LOC101928405	0
SLITRK3	0
LINC01322	2
TRIT1	627
BCHE	0
MTND4P17	0
MTND4LP10	0
MTND3P7	0
MTCO3P38	0
LOC100420620	0
RN7SKP298	0
PSAT1P4	0
CBX1P5	0
LOC105374194	0
MYCL	367
LOC105374193	0
LOC105374195	0
LOC131055	0
LOC105374196	0
ZBBX	14
LINC01327	0
SERPINI2	0
LOC105374197	0
WDR49	0
PDCD10	813
LOC105378668	4
HMGN1P8	0
SERPINI1	153
MEMO1P3	0
LINC01330	0
LOC107986039	0
HMGN2P26	0
LOC107986152	1
GOLIM4	323
EGFEM1P	1
RNU2-20P	0
LOC105378586	1
MFSD2A	103
LOC105374200	0
RPSAP33	0
RPL21P43	0
LINC02082	0
LOC105374201	0
LOC107986051	0
MECOM	333
LOC105374206	0
LOC105374205	0
RPS2P12	3
RPL22P1	0
SDHDP3	0
TERC	8
ACTRT3	7
TRV-AAC1-1	0
MYNN	797
LRRC34	3
LRRIQ4	0
LRRC31	1
KRT18P43	0
LOC105378669	0
SAMD7	0
LOC100421510	0
LOC100128164	4
SEC62	3293
GPR160	212
RNU4-38P	0
LOC100421819	5
PHC3	1180
LOC105374209	3
RNU6-315P	0
CAP1	5329
