Gene Symbol	SKOV_MOCK
LOC105374089	8
ZXDC	723
UROC1	0
CHST13	8
C3orf22	2
LOC105374090	0
RNU6-584P	0
RNA5SP138	0
TXNRD3NB	2
TXNRD3	204
LOC100419878	0
NUP210P1	0
LOC645852	0
CHCHD6	710
RCC2P4	4
PLXNA1	1130
C3orf56	0
LOC105378651	1
LOC101060159	3
RNU6-1047P	0
LOC100419008	1
LINC02016	0
LOC105374094	0
LINC01471	0
LOC107986125	0
TPRA1	874
SF3A3	6531
MCM2	3002
LOC107986126	734
PODXL2	739
ABTB1	97
MGLL	822
LOC107986127	21
LOC107986128	3
LOC107986129	1
LOC105374096	0
KBTBD12	1
ATAD3C	16
RNU6-510P	0
RNA5SP139	0
LOC102723759	0
SEC61A1	3444
RUVBL1	3590
RNU2-37P	0
RUVBL1-AS1	2
RNU6-823P	0
EEFSEC	395
DNAJB8	0
DNAJB8-AS1	1
FHL3	320
GATA2	337
GATA2-AS1	43
LOC90246	10
TMED10P2	0
LINC01565	0
RPN1	9796
POU5F1P6	0
RAB7A	5244
MARK2P8	0
FTH1P4	2
UTP11	3587
RN7SL698P	0
RPS15AP16	1
MARK2P17	0
MARK3P3	0
MARK2P6	0
LOC653712	10
ACAD9	517
KIAA1257	180
EFCC1	30
LOC100130760	0
POU3F1	7
GP9	0
ISY1-RAB43	13
RAB43	43
ISY1	1249
CNBP	11718
LOC105374101	1
RPS27P12	0
LOC105374102	0
COPG1	3491
LOC107985103	29
HMCES	1105
H1FX	4187
H1FX-AS1	1
NUP210P3	0
MARK2P3	1
LOC100421508	0
RPL32P3	58
SNORA7B	1
EFCAB12	7
MBD4	398
LOC105378653	1
IFT122	190
RHO	0
H1FOO	1
PLXND1	533
RN7SL752P	0
TMCC1	555
RNY3P13	0
TMCC1-AS1	7
TRH	2
LOC107986130	15
RPS17P9	0
OR7E129P	0
OR7E21P	0
ALG1L2	1
LOC105374105	30
FAM86HP	37
LOC105374104	1
LOC105374103	4
LOC107986131	2
LOC107986133	1
LOC105378655	0
ENPP7P3	1
LOC107986134	0
LOC107986132	0
SNRPCP8	0
COL6A4P2	0
LOC105374106	0
LOC100507083	0
COL6A5	0
COL6A6	0
PIK3R4	893
LOC105378654	0
LOC107986023	2
RN7SKP212	0
LOC105374107	0
GSTO3P	0
LOC105374108	0
ATP2C1	1776
LOC100420832	0
LOC100420298	0
ASTE1	87
NEK11	89
LINC01343	1
LOC107986024	3
RNU6-726P	0
LOC339874	4
NUDT16P1	137
NUDT16	483
LOC107986025	12
LOC105374110	2
MRPL3	6481
SNORA58	0
LOC105374114	1
ATAD3B	1524
LOC105378657	0
BCL2L12P1	0
CPNE4	0
LOC105374113	0
LOC105374111	0
LOC729674	0
TRC-GCA6-1	0
TRC-GCA9-1	0
RPL7P16	0
ACPP	2
TUBB6P1	0
LOC100130550	1
NIP7P2	0
DNAJC13	1953
NPHP3-ACAD11	68
ACAD11	899
ACKR4	8
HSPA8P19	0
UBA5	1352
NPHP3	120
NPHP3-AS1	0
RNU6-753P	0
LOC105374115	0
TMEM108	1
TMEM108-AS1	0
LOC101927432	0
BFSP2	1
BFSP2-AS1	10
LOC391578	0
CDV3	6578
TOPBP1	1907
TF	21
LOC107984943	0
RNU6-678P	0
TFP1	19
RNA5SP140	0
LOC100421637	1
SRPRB	4015
LOC105374116	3
RAB6B	476
C3orf36	0
SLCO2A1	1
LINC02000	0
LOC105378656	0
LOC105374117	9
RYK	1749
HMGB3P14	4
LOC105374119	2
LOC105374118	0
RPL39P5	0
AMOTL2	1450
HMGN1P9	0
HMGB3P13	0
LOC105378658	0
ANAPC13	1252
CEP63	466
LOC100421154	0
KY	0
EPHB1	0
RNU6-1174P	0
RNA5SP141	0
LOC105374121	1
LOC105374120	0
LOC105378660	0
LOC102724019	0
LOC105374122	0
LOC105374123	0
LOC105374124	0
NDUFS6P1	0
PPP2R3A	133
LOC107986135	1
LOC100420050	0
MSL2	950
TDGF1P6	5
LOC400750	1
RPL31P23	0
PCCB	1626
STAG1	2644
RNU6-1284P	0
RNY4P4	0
HMGN1P10	0
RNU6-789P	0
LOC100421438	2
SLC35G2	110
NCK1-AS1	56
RRAGC	540
NCK1	618
RAD51AP1P1	1
LOC107986136	51
IL20RB	32
RNA5SP142	0
LOC100289118	0
LOC105374126	0
NPM1P17	0
SOX14	0
LINC01210	0
GJA9-MYCBP	7
HSPA8P9	0
CLDN18	1
LOC105374127	3
LOC105374128	8
DZIP1L	78
KRT8P36	4
A4GNT	0
DBR1	833
ARMC8	834
NME9	18
SEPT14P18	7
ATAD3A	1967
MYCBP	892
MRAS	293
LOC105374129	0
ESYT3	6
CEP70	496
FAIM	182
LOC256374	5
PIK3CB	1120
GAPDHP39	4
RPL23AP40	0
EEF1A1P25	0
LOC105378663	0
ATP5G1P3	0
LINC01391	2
FOXL2	1
FOXL2NB	3
PRR23A	0
PRR23B	0
PRR23C	0
RPL7L1P7	0
BPESC1	0
PISRT1	0
GJA9	0
MRPS22	3026
COPB2	5093
LOC100507291	15
RBP2	0
ACTG1P1	5
RBP1	1058
NMNAT3	92
RN7SKP124	0
RN7SL724P	0
TRMT112P5	0
RHBDL2	1
CLSTN2	23
LOC105374132	1
CLSTN2-AS1	0
LOC102724068	0
TRIM42	1
RPL23AP41	0
SLC25A36	2089
SPSB4	5
PXYLP1	344
RPL31P21	0
LOC105378662	0
LOC107986137	0
LOC100289442	0
ZBTB38	1111
KRT18P35	0
RASA2	421
YWHAQP6	2
LOC646730	0
TPT1P3	0
RNF7	1459
GRK7	7
RNU6-605P	0
LOC105374134	0
HMGN2P25	0
ATP1B3	2646
RNU6-509P	0
TFDP2	1629
RPL19P6	1
RNU6-425P	0
GK5	540
XRN1	1458
RNU6-1294P	0
EIF1P2	0
RNU1-100P	0
ATR	1458
LOC731755	19
SUCLG2P1	5
RPL6P9	0
RNA5SP143	0
PLS1	2494
LOC105374136	1
RN7SKP25	0
TRPC1	148
AKIRIN1	2090
RNU7-47P	0
PCOLCE2	138
RPL8P3	1
LOC100507389	0
PAQR9	5
PAQR9-AS1	0
LOC100289361	22
U2SURP	7944
LOC105374138	0
CHST2	46
NDUFS5	3445
LOC105374137	0
PBX2P1	2
SLC9A9	10
SLC9A9-AS1	0
GAPDHP47	0
ST13P15	0
LOC100128739	0
LOC102724120	0
RPS17P10	0
C3orf58	412
LOC107984944	23
RNA5SP144	0
LOC105374140	7
LOC105374139	0
LOC105374141	0
LARP7P4	0
LOC105374142	0
LOC105374143	0
LOC105374144	0
GM2AP1	0
RPL21P39	0
TMEM240	0
MACF1	5572
LOC107986138	0
PLOD2	770
LOC105374145	0
PLSCR4	38
LOC100419967	0
PLSCR2	5
PLSCR1	496
RNU6-428P	0
PLSCR5	0
LINC02010	0
RNU6-608P	0
RNU6-505P	0
LOC107986139	0
RPL21P71	0
ZIC4	0
ZIC1	0
LOC440982	0
NPM1P28	0
LOC102724145	0
LINC02032	0
HNRNPA1P20	0
RNA5SP44	0
LOC105374146	0
LOC105374149	0
LOC105374148	0
LOC105374147	0
LOC105374150	0
RPL38P1	0
AGTR1	0
HMGB1P30	0
CPB1	0
CPA3	0
HSPE1P8	0
LOC107986045	0
UBQLN4P1	9
GYG1	1197
HLTF	2378
HLTF-AS1	4
MED28P2	0
HPS3	244
CP	22
LOC101927942	0
CPHL1P	0
KIAA0754	330
LOC107986140	12
TM4SF18	52
RPS25P5	0
TM4SF1	0
TM4SF1-AS1	0
LOC105374151	0
FKBP1AP4	0
LOC107986038	0
TM4SF4	0
LOC100421817	0
LOC105378950	0
WWTR1	1324
RNU6-1098P	0
WWTR1-AS1	3
COMMD2	1060
ANKUB1	0
RNU6-507P	0
RNF13	1154
RNU6-720P	0
NPM1P29	2
LOC105374152	4
BMP8A	118
PFN2	3918
LOC646903	7
TMEM183B	17
LOC391587	0
HNRNPA1P24	0
LOC105374153	0
LOC730021	0
LOC107986046	0
LOC105374313	0
RPL32P9	0
TRK-CTT12-1	0
LINC01213	0
LINC01214	0
LOC105374154	0
LOC107986141	1
LOC107986142	0
LOC107986143	2
TSC22D2	1077
SERP1	4031
EIF2A	6880
SELENOT	3109
OXCT2P1	8
LOC677762	2
ERICH6	1
ERICH6-AS1	9
SNRPCP3	0
LOC101928105	2
SIAH2	537
LOC105374155	0
LOC107986145	0
FAM188B2	0
LOC107986144	1
PPIEL	61
CLRN1	0
CLRN1-AS1	0
MED12L	165
RNA5SP145	0
GPR171	2
P2RY14	4
SETP11	1
GPR87	432
P2RY13	0
P2RY12	1
SSU72	2034
PABPC4	4431
IGSF10	11
MRPL42P6	0
LOC105374157	0
LOC105374158	0
AADACL2	0
AADACL2-AS1	0
AADACP1	90
LOC105374160	58
AADAC	147
LOC101929516	12
SUCNR1	16
LOC105374159	0
LOC107986047	2
LOC101928166	0
MBNL1	6327
MBNL1-AS1	31
LOC105374162	102
TMEM14EP	5
LOC105374163	2
LOC102724289	1
SNORA55	0
ATP5LP5	0
P2RY1	48
LOC107986146	0
HMGN2P13	1
LOC100418712	1
RAP2B	2932
LOC105374164	0
RN7SL300P	0
LOC105374166	0
LOC105374165	2
HEYL	394
LOC107986147	0
RNU6-901P	0
C3orf79	0
RPL21P42	0
ARHGEF26-AS1	3
ARHGEF26	2
LOC105374167	0
DHX36	1058
GPR149	0
DDX50P2	1
NT5C1A	1
LOC100130011	0
DYNLL1P5	0
RPL9P15	0
LOC105374170	0
LOC105374171	0
MME	0
LINC01487	0
LOC100507537	0
PABPC1P10	0
LOC105374172	0
HPCAL4	213
LOC100419750	0
RN7SL715P	0
PLCH1	173
PLCH1-AS2	0
RPL6P7	0
RPL7AP24	0
C3orf33	181
SLC33A1	505
LOC105374174	21
GMPS	2923
LOC100128091	0
SETP14	35
VN2R1P	0
ALG1L15P	0
MRE11P1	0
KCNAB1	61
LOC751837	0
KCNAB1-AS2	0
KCNAB1-AS1	0
SSR3	6087
TIPARP-AS1	3
RNU7-121P	0
TIPARP	2292
LOC107986148	8
METTL15P1	26
LINC00886	46
PA2G4P4	65
LEKR1	28
KLF3P2	0
LOC100422426	0
RN7SKP177	0
LINC00880	9
PPIE	3570
LINC02029	10
LINC00881	0
CCNL1	1557
KRT18P34	0
LOC101928236	32
RNA5SP146	0
LOC100420048	0
LOC105374179	4
VEPH1	84
PTX3	5
BMP8B	276
PQLC2L	5
RN7SKP46	0
SHOX2	237
RSRC1	746
RPL15P6	0
LOC100422604	0
RPS12P7	0
LOC100996447	30
MLF1	942
MTAPP1	0
FNDC10	57
OXCT2	14
GFM1	1329
LXN	0
RARRES1	0
LOC100287290	47
RPL35AP9	0
MFSD1	243
GPR79	0
LOC105374181	2
IQCJ-SCHIP1	361
IQCJ	0
LOC105378666	0
SCHIP1	40
RPS2P19	0
LOC100420738	0
IQCJ-SCHIP1-AS1	0
LOC101928351	2
RNU2-31P	0
IL12A-AS1	0
IL12A	107
LINC01100	0
LOC101929536	0
LOC105374314	0
BRD7P2	5
LOC107986149	0
C3orf80	71
IFT80	724
RPL35AP10	0
SMC4	4933
TRIM59	823
LOC105378951	5
B3GAT3P1	1
RNU7-136P	0
KPNA4	4450
SCARNA7	13
KRT8P12	26
RPL6P8	0
ARL14	38
PPM1L	407
B3GALNT1	276
LOC105374186	0
LOC107985740	1
NMD3	4445
LOC105374187	31
EEF1GP4	0
PSMC1P7	0
SPTSSB	64
LOC107986150	0
LINC02067	4
RPL23AP42	867
OTOL1	0
LOC107986048	0
LOC105378665	0
LOC107986049	0
TOMM22P6	0
RPS6P4	0
LINC01192	0
LOC105374188	0
RNU7-82P	0
LOC730129	0
LOC102724419	0
LOC105374189	0
LOC105378667	0
LOC105374190	0
LOC105374191	0
LOC107986151	0
LINC01324	0
LOC107986050	0
SI	0
LOC105374192	0
LOC101928405	0
SLITRK3	0
LINC01322	0
TRIT1	1560
BCHE	0
MTND4P17	0
MTND4LP10	0
MTND3P7	0
MTCO3P38	0
LOC100420620	0
RN7SKP298	0
PSAT1P4	0
CBX1P5	0
LOC105374194	0
MYCL	199
LOC105374193	0
LOC105374195	0
LOC131055	0
LOC105374196	0
ZBBX	20
LINC01327	0
SERPINI2	3
LOC105374197	0
WDR49	1
PDCD10	1412
LOC105378668	6
HMGN1P8	0
SERPINI1	97
MEMO1P3	0
LINC01330	0
LOC107986039	0
HMGN2P26	0
LOC107986152	0
GOLIM4	335
EGFEM1P	3
RNU2-20P	0
LOC105378586	2
MFSD2A	165
LOC105374200	0
RPSAP33	0
RPL21P43	0
LINC02082	1
LOC105374201	0
LOC107986051	0
MECOM	616
LOC105374206	0
LOC105374205	0
RPS2P12	4
RPL22P1	0
SDHDP3	0
TERC	67
ACTRT3	17
TRV-AAC1-1	0
MYNN	2374
LRRC34	16
LRRIQ4	0
LRRC31	0
KRT18P43	0
LOC105378669	2
SAMD7	0
LOC100421510	0
LOC100128164	1
SEC62	5975
GPR160	229
RNU4-38P	0
